parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
kf1	lin	-0.5163	1.4837	1.2574844590558767	1
kf1b	lin	-3.9153	-1.9153	-3.70142992388698	1
kf1c	lin	1.9865	3.9865	2.141002201358127	1
kf1d	lin	0.2052	2.2052	1.270443009177343	1
kf2	lin	3.6312	5.6312	4.853098217778657	1
kf2b	lin	-1.8667	0.1333	-1.5620783285215811	1
kf2c	lin	3.8758	5.8758	4.470672437547565	1
kf2d	lin	-3.6526	-1.6526	-2.8378984718271187	1
kf3	lin	-3.7913	-1.7913	-2.331042542360279	1
kf4	lin	-4.1902	-2.1902	-2.6635853434740024	1
kf5	lin	-1.692	0.308	-0.3255257017191795	1
kf6	lin	3.125	5.125	5.045077138960432	1
kf7	lin	-4.04	-2.04	-2.6097868427050095	1
kf8	lin	-5.576	-3.576	-3.661952117257279	1
kf9	lin	-0.6468	1.3532	-0.35804593907856375	1
kf10	lin	3.3309	5.3309	3.8218163099767266	1
kf11	lin	-7.9315	-5.9315	-6.335232703400183	1
kf12	lin	-4.8016	-2.8016	-4.682269176716152	1
kf14	lin	0.0	2.0	0.9501951196350993	1
kf15	lin	-7.7787	-5.7787	-6.483283533683652	1
kf16	lin	-8.7887	-6.7887	-8.396927047894303	1
kf101	lin	-1.0831	0.9169	-0.5989597411421792	1
kf102	lin	-7.4728	-5.4728	-6.652184340405308	1
kf103	lin	-0.9523	1.0477	0.5811837879107599	1
kf104	lin	2.9039	4.9039	3.6475183438846908	1
kf105	lin	-0.2407	1.7593	1.254666787749713	1
kf106	lin	-0.4863	1.5137	0.7701626981702163	1
kf107	lin	-1.8678	0.1322	-1.581965972496472	1
kf108	lin	-4.3447	-2.3447	-3.739650351862752	1
kf109	lin	-5.5098	-3.5098	-5.417921884082548	1
kf110	lin	5.393	7.393	7.269388179046762	1
kf111	lin	-3.7962	-1.7962	-2.202955856898371	1
kf112	lin	-3.8996	-1.8996	-2.9856119694815284	1
kf201	lin	1.7628	3.7628	3.161784050064515	1
kf202	lin	3.0772	5.0772	4.74814246730001	1
kf203	lin	-6.4445	-4.4445	-6.235485863574911	1
kf204	lin	-0.7726	1.2274	0.728466376709322	1
kf206	lin	-7.3512	-5.3512	-5.370092419241814	1
kf207	lin	-7.3752	-5.3752	-6.224346516247462	1
kf208	lin	-6.0059	-4.0059	-5.5810822178504385	1
kf301	lin	-4.0943	-2.0943	-2.787078071928491	1
kf302	lin	-1.9807	0.0193	-0.618006691964401	1
kf303	lin	3.2786	5.2786	5.235983424512446	1
kf304	lin	-6.6559	-4.6559	-5.994303849583203	1
kf401	lin	-4.1016	-2.1016	-3.395564011394025	1
kf402	lin	-3.9249	-1.9249	-3.5784331598423336	1
kf403	lin	-4.4193	-2.4193	-3.6403570084555	1
kf404	lin	-8.0807	-6.0807	-8.015475544541149	1
ic_S1_low	lin	0.0	0.0	0.0	0
ic_S1_high	lin	0.0	200000.0	141558.8145974351	0
ic_S2_low	lin	0.0	0.0	0.0	0
ic_S2_high	lin	0.0	200000.0	99813.08508611206	0
kf13_nodrug	lin	-7.2483	-5.2483	-6.16367631557321	0
kf13_inhibited	lin	-8.2483	-6.2483	-7.901746925200053	0
kf17_nodrug	lin	-8.7124	-6.7124	-7.662746911455064	1
kf17_sideeffect	lin	-9.7124	-7.7124	-8.595841428417096	1
offset_pRecTot_free	lin	100.0	10000.0	7861.536915399118	1
offset_pAkt308_free	lin	200.0	20000.0	3490.9411569779077	1
offset_pRPS6K_free	lin	300.0	30000.0	16713.484675929267	1
offset_pERK_free	lin	400.0	40000.0	8395.395943896245	1
scale_pRecTot_free	lin	0.08	8.0	5.060391710143676	1
scale_pAkt308_free	lin	0.09	9.0	4.8196159917047146	1
scale_pRPS6K_free	lin	0.1	10.0	4.930146166191815	1
scale_pERK_free	lin	0.11	11.0	1.5515584740388901	1
noise_additive	lin	500.0	2000.0	1064.4654590405544	1
noise_multiplicative	lin	0.05	0.2	0.14018052460400535	1
